Date,Growth,Close,Volume,W_Average
1951-10-08,0,23.75,1860000,22.40325175
1951-10-09,0,23.64999962,1750000,22.41930647
1951-10-10,0,23.61000061,1320000,22.43478061
1951-10-11,1,23.70000076,1760000,22.45097415
1951-10-15,1,23.85000038,1720000,22.46847216
1951-10-16,0,23.77000046,1730000,22.48499754
1951-10-17,0,23.69000053,1460000,22.50055824
1951-10-18,0,23.67000008,1450000,22.51575774
1951-10-19,0,23.31999969,1990000,22.52733037
1951-10-22,0,22.75,2690000,22.53310052
1951-10-23,1,22.84000015,2110000,22.53967266
1951-10-24,1,23.03000069,1670000,22.54803735
1951-10-25,0,22.95999908,1360000,22.5556045
1951-10-26,0,22.80999947,1710000,22.56158758
1951-10-29,0,22.69000053,1780000,22.56627913
1951-10-30,0,22.65999985,1530000,22.57059753
1951-10-31,1,22.94000053,1490000,22.5776249
1951-11-01,1,23.10000038,1430000,22.58616272
1951-11-02,0,22.93000031,1230000,22.59292739
1951-11-05,0,22.81999969,1130000,22.59852888
1951-11-07,0,22.48999977,1490000,22.60077614
1951-11-08,0,22.46999931,1410000,22.60276818
1951-11-09,1,22.75,1470000,22.60748211
1951-11-13,1,22.79000092,1160000,22.61251993
1951-11-14,1,22.85000038,1220000,22.61807366
1951-11-15,0,22.84000015,1200000,22.62343734
1951-11-16,0,22.81999969,1140000,22.62852341
1951-11-19,0,22.72999954,1030000,22.63265674
1951-11-20,0,22.68000031,1130000,22.63624331
1951-11-21,0,22.63999939,1090000,22.63938111
1951-11-23,0,22.39999962,1210000,22.64008758
1951-11-26,1,22.43000031,1180000,22.64107066
1951-11-27,1,22.65999985,1310000,22.64433086
1951-11-28,0,22.61000061,1150000,22.64706669
1951-11-29,1,22.67000008,1070000,22.65036868
1951-11-30,1,22.87999916,1530000,22.65573136
1951-12-03,1,23.01000023,1220000,22.66235225
1951-12-04,1,23.13999939,1280000,22.67022538
1951-12-05,0,23.06999969,1330000,22.67735125
1951-12-06,1,23.34000015,1840000,22.68711045
1951-12-07,1,23.37999916,1990000,22.69720746
1951-12-10,1,23.42000008,1340000,22.70762537
1951-12-11,0,23.29999924,1360000,22.71676815
1951-12-12,1,23.37000084,1280000,22.72653582
1951-12-13,1,23.38999939,1380000,22.73643034
1951-12-14,0,23.37000084,1360000,22.74605323
1951-12-17,1,23.40999985,1220000,22.75599403
1951-12-18,1,23.48999977,1290000,22.76665074
1951-12-19,1,23.56999969,1510000,22.77802188
1951-12-20,0,23.56999969,1340000,22.78931143
1951-12-21,0,23.51000023,1250000,22.79991542
1951-12-24,1,23.54000092,680000,22.81073234
1951-12-26,0,23.44000053,1520000,22.82047065
1951-12-27,1,23.64999962,1460000,22.83222438
1951-12-28,1,23.69000053,1470000,22.84429155
1951-12-31,1,23.77000046,1440000,22.85705573
1952-01-02,1,23.79999924,1070000,22.870001
1952-01-03,1,23.87999916,1220000,22.88361542
1952-01-04,1,23.92000008,1480000,22.897499
1952-01-07,0,23.90999985,1540000,22.91116965
1952-01-08,0,23.81999969,1390000,22.92382785
1952-01-09,0,23.73999977,1370000,22.93557561
1952-01-10,1,23.86000061,1520000,22.94841293
1952-01-11,1,23.97999954,1760000,22.9623383
1952-01-14,1,24.15999985,1510000,22.97793283
1952-01-15,0,24.05999947,1340000,22.99240048
1952-01-16,1,24.09000015,1430000,23.00702735
1952-01-17,1,24.20000076,1590000,23.02261144
1952-01-18,1,24.25,1740000,23.03855771
1952-01-21,1,24.45999908,1730000,23.05644775
1952-01-22,1,24.65999985,1920000,23.07616864
1952-01-23,0,24.54000092,1680000,23.09453333
1952-01-24,1,24.55999947,1570000,23.11295521
1952-01-25,0,24.54999924,1650000,23.1311363
1952-01-28,1,24.61000061,1590000,23.14977163
1952-01-29,0,24.56999969,1730000,23.16786168
1952-01-30,0,24.22999954,1880000,23.18242287
1952-01-31,0,24.13999939,1810000,23.19596913
1952-02-01,1,24.29999924,1350000,23.21100544
1952-02-04,0,24.12000084,1640000,23.22413829
1952-02-05,0,24.11000061,1590000,23.23707063
1952-02-06,1,24.18000031,1310000,23.25060098
1952-02-07,0,24.11000061,1170000,23.26332835
1952-02-08,1,24.23999977,1350000,23.27724626
1952-02-11,0,24.11000061,1140000,23.28976169
1952-02-13,0,23.92000008,1300000,23.3002796
1952-02-14,0,23.87000084,1340000,23.31020299
1952-02-15,0,23.86000061,1200000,23.3199418
1952-02-18,0,23.73999977,1140000,23.32841344
1952-02-19,0,23.36000061,1630000,23.33303882
1952-02-20,0,23.09000015,1970000,23.33493634
1952-02-21,1,23.15999985,1360000,23.33750698
1952-02-25,1,23.22999954,1200000,23.34075673
1952-02-26,0,23.14999962,1080000,23.34318757
1952-02-27,1,23.18000031,1260000,23.34589106
1952-02-28,1,23.29000092,1150000,23.34966072
1952-02-29,0,23.26000023,1000000,23.35309952
1952-03-03,1,23.29000092,1020000,23.35679953
1952-03-04,1,23.68000031,1570000,23.36433237
1952-03-05,1,23.70999908,1380000,23.37208908
1952-03-06,0,23.69000053,1210000,23.37954978
1952-03-07,1,23.71999931,1410000,23.38720948
1952-03-10,0,23.60000038,1170000,23.3935851
1952-03-11,1,23.62000084,1210000,23.40005576
1952-03-12,1,23.72999954,1310000,23.40751346
1952-03-13,1,23.75,1270000,23.41505227
1952-03-14,0,23.75,1350000,23.42246222
1952-03-17,1,23.92000008,1150000,23.43142938
1952-03-18,0,23.87000084,1170000,23.43975526
1952-03-19,0,23.81999969,1090000,23.44745128
1952-03-20,1,23.88999939,1240000,23.45572093
1952-03-21,1,23.93000031,1290000,23.46427068
1952-03-24,0,23.93000031,1040000,23.47269854
1952-03-25,0,23.79000092,1060000,23.47959955
1952-03-26,0,23.78000069,1030000,23.48627866
1952-03-27,1,23.98999977,1370000,23.49493288
1952-03-28,1,24.18000031,1560000,23.50535677
1952-03-31,1,24.37000084,1680000,23.51753737
1952-04-01,0,24.18000031,1720000,23.52769011
1952-04-02,0,24.12000084,1260000,23.5371135
1952-04-03,0,24.12000084,1280000,23.54640903
1952-04-04,0,24.02000046,1190000,23.5545961
1952-04-07,0,23.79999924,1230000,23.5604956
1952-04-08,1,23.90999985,1090000,23.56740256
1952-04-09,1,23.94000053,980000,23.57451401
1952-04-10,1,24.11000061,1130000,23.583216
1952-04-14,0,23.95000076,1790000,23.59021004
1952-04-15,0,23.64999962,1720000,23.59409959
1952-04-16,0,23.57999992,1400000,23.59717521
1952-04-17,0,23.40999985,1620000,23.59844585
1952-04-18,1,23.5,1240000,23.60051053
1952-04-21,1,23.69000053,1110000,23.60434636
1952-04-22,0,23.57999992,1240000,23.60695183
1952-04-23,0,23.47999954,1090000,23.60843889
1952-04-24,0,23.43000031,1580000,23.6093165
1952-04-25,1,23.54000092,1240000,23.6111996
1952-04-28,1,23.54999924,980000,23.61308765
1952-04-29,0,23.48999977,1170000,23.61428814
1952-04-30,0,23.31999969,1000000,23.61370456
1952-05-01,0,23.17000008,1400000,23.61154685
1952-05-02,1,23.55999947,1300000,23.61320157
1952-05-05,1,23.65999985,860000,23.61577271
1952-05-06,1,23.67000008,1120000,23.61834733
1952-05-07,1,23.80999947,1120000,23.62222793
1952-05-08,1,23.86000061,1230000,23.62651002
1952-05-09,0,23.84000015,960000,23.63049261
1952-05-12,0,23.75,800000,23.63348216
1952-05-13,1,23.78000069,890000,23.63668814
